col1 col2 col3 col4 col5 col6 col7 col8 col9 col10 col11 col12 col13 col14 col15 col16 col17 col18 col19 col20 col21 col22 col23 col24 col25 col26 col27 col28 col29 col30 col31 col32 col33 col34 col35 col36 col37 col38 col39 col40 col41 col42 col43 col44 col45 col46 col47 col48 col49 col50 col51 col52 col53 col54 col55 col56 col57 col58 col59 col60 col61 col62 col63 col64 col65 col66 col67 col68 col69 col70 col71 col72 col73 col74 col75 col76 col77 col78
H 88 "" "00 01 04.60" "-48 48 35.5" 5.71 "" H 0.26915958 -48.80985919 "" 5.97 -17.92 -6.75 0.44 0.44 0.7 0.5 0.54 -0.17 -0.06 -0.06 -0.15 -0.01 0.08 0.0 -0.19 -0.04 -0.06 0 -0.67 88 6.863 0.003 5.807 0.002 "" 0.911 0.001 G 0.91 0.0 H "" 5.869 0.0006 0.007 170 "" 5.86 5.88 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 224834 "" "C-49 14316" "P-49 11840" 0.91 G8III X
H 107 "" "00 01 20.11" "-50 20 14.6" 5.53 1 H 0.33380226 -50.33739907 "" 5.84 7.34 10.59 0.44 0.4 0.61 0.54 0.44 -0.08 0.05 -0.15 -0.07 -0.07 0.02 -0.07 -0.05 -0.08 -0.06 1 -0.47 107 7.626 0.006 5.722 0.003 "" 1.615 0.006 T 1.88 0.02 O "" 5.6243 0.0012 0.015 162 "" 5.6 5.65 "" U 2 "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 224865 "" "C-51 13743" "P-51 12068" 1.88 M2III 2
H 122 "" "00 01 35.85" "-77 03 55.1" 4.78 "" G 0.39937928 -77.06529438 "" 14.77 -56.52 -176.95 0.4 0.39 0.47 0.46 0.4 0.0 0.11 -0.21 0.07 0.02 0.05 0.03 0.03 -0.05 0.16 0 1.99 122 6.43 0.003 4.928 0.002 "" 1.254 0.039 G 1.26 0.02 A "" 4.9354 0.0006 0.005 134 "" 4.93 4.95 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 224889 "" "" "P-77  1596" 1.26 K2III X
H 124 "" "00 01 37.02" "+61 13 22.1" 5.58 "" H 0.40424537 61.22280406 "" 0.86 -2.8 -1.34 0.39 0.43 0.56 0.48 0.48 -0.14 0.06 0.12 0.17 -0.05 -0.07 -0.01 -0.08 0.27 -0.11 0 0.31 124 6.049 0.003 5.618 0.002 "" 0.407 0.003 T 0.47 0.0 L "" 5.6725 0.0006 0.005 145 "" 5.66 5.68 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 224893 "B+60 2657" "" "" 0.47 F0III X
H 145 "" "00 01 49.44" "-03 01 38.9" 5.13 "" H 0.45598912 -3.02747891 "" 7.98 18.9 -10.25 0.74 0.42 0.71 0.81 0.41 0.17 0.07 0.02 -0.43 0.05 0.07 0.03 -0.26 0.11 0.18 0 3.71 145 4.964 0.002 5.106 0.002 "" -0.128 0.009 G -0.12 0.02 A "" 5.0831 0.0006 0.006 99 "" 5.07 5.09 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 224926 "B-03 5749" "" "" -0.12 B7III-IV X
H 154 "" "00 01 57.59" "-06 00 50.3" 4.37 2 H 0.48996506 -6.01397169 "" 7.86 46.62 -41.32 0.8 0.41 0.94 1.09 0.44 0.19 -0.09 -0.21 0.03 -0.03 0.5 0.07 -0.26 0.36 0.43 0 2.73 154 6.483 0.006 4.588 0.005 "" 1.631 0.011 G 2.35 0.02 A "" 4.412 0.0045 0.043 116 "" 4.35 4.46 "" U 2 C "" "" "" 1 "" "" S "" "" "" "" "" "" S "" "" 224935 "B-06 6345" "" "" 2.35 M3III X
H 171 "" "00 02 09.65" "+27 05 04.2" 5.8 "" G 0.54018776 27.08448905 "" 80.63 778.59 -918.72 2.4 1.92 3.03 2.81 1.81 0.25 0.11 0.18 0.0 0.09 0.07 0.07 -0.13 0.09 0.26 0 "" 171 "" "" "" "" "" 0.69 0.015 G 0.82 0.05 G "" 5.8735 0.0009 0.007 96 "" 5.86 5.88 "" D "" "" 00021+2706 I 2 1 X "" S "" "" "" "" "" "" S "" "" 224930 "B+26 4734" "" "" 0.82 G3V X
H 183 "" "00 02 19.91" "-29 43 13.6" 5.04 "" H 0.58297574 -29.72044805 "" 6.4 9.66 14.0 0.74 0.44 0.87 1.04 0.51 0.06 -0.25 -0.01 0.03 0.03 0.22 -0.05 -0.37 -0.07 -0.2 0 -0.85 183 4.852 0.002 5.009 0.002 "" -0.15 0.042 G -0.14 0.02 A "" 4.9895 0.0005 0.005 135 "" 4.98 5.0 "" "" "" "" 00023-2943 I 1 1 "" "" "" "" "" "" "" "" "" S "" "" 224990 "" "C-30 19790" "P-30  6829" -0.14 B4V 3
H 194 "" "00 02 29.76" "+08 29 08.1" 5.7 "" H 0.62398938 8.48557854 "" 26.53 -93.55 -47.5 0.67 0.45 0.77 0.69 0.46 0.28 0.19 0.03 0.03 0.08 -0.03 0.1 -0.03 0.17 0.28 4 1.99 194 6.069 0.004 5.735 0.004 "" 0.315 0.006 G 0.36 0.01 H "" 5.7806 0.0008 0.005 96 "" 5.77 5.79 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 225003 "B+07 5121" "" "" 0.36 F0V X
H 207 "" "00 02 36.08" "+66 05 56.3" 5.87 "" H 0.65034249 66.09896341 A 1.57 3.32 1.14 1.68 1.64 1.67 1.83 1.61 -0.2 -0.05 0.2 -0.12 0.04 0.15 0.0 -0.03 0.13 -0.22 3 -0.32 207 7.222 0.006 5.963 0.004 A 1.073 0.005 T 1.04 0.0 L "" 6.0384 0.0214 0.064 142 A 5.98 6.17 "" D "" "" 00026+6606 I 2 1 C P B "" "" "" "" "" "" S "" "" 225009 "B+65 1987" "" "" 1.04 G8III S
H 301 "" "00 03 44.37" "-17 20 09.5" 4.55 "" G 0.93488487 -17.33597002 "" 14.31 28.57 -7.28 0.9 0.42 0.92 1.09 0.42 0.03 0.21 0.07 -0.4 0.2 0.01 0.19 -0.21 0.05 -0.09 0 0.11 301 4.492 0.002 4.539 0.002 "" -0.047 0.003 G -0.03 0.02 A "" 4.5366 0.0005 0.005 139 "" 4.53 4.55 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 225132 "B-18 6417" "" "" -0.03 B9IVn 4
H 330 "" "00 04 13.66" "+62 17 15.6" 5.9 "" H 1.05693212 62.2876646 "" 0.89 -0.99 -0.37 0.39 0.45 0.58 0.45 0.5 -0.18 0.14 0.3 0.19 -0.05 0.03 -0.02 0.02 0.24 -0.18 1 -1.57 330 6.215 0.003 5.927 0.003 "" 0.274 0.004 T 0.31 0.01 L "" 5.9712 0.0005 0.006 137 "" 5.96 5.98 "" C "" "" 00042+6217 I 2 1 "" "" "" "" "" "" "" "" "" S "" "" 225180 "B+61 2586" "" "" 0.29 A1III X
H 343 "" "00 04 19.76" "-16 31 44.0" 5.78 "" G 1.08233885 -16.52888969 "" 11.29 53.77 -60.27 0.84 0.42 0.92 1.34 0.42 0.15 -0.03 0.08 0.21 0.16 0.25 0.02 -0.26 0.04 -0.05 3 1.13 343 7.193 0.005 5.898 0.003 "" 1.084 0.007 G 1.05 0.01 H "" 5.9563 0.0007 0.007 130 "" 5.95 5.97 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 225197 "B-17 6868" "" "" 1.05 K0III 4
